,CustomerID,Type_of_customer,Build_Distribution,Version_Distribution,Software_Edition,OS_Distribution,RAM_Distribution,PC_Type,CPU_Cores,Country,Date_of_Onboard
1,98569,Best_Customer,Build 232,Version 7.1,High,MS Win Server 2008, > 6 GB,Mobile,1 Core,France,1/12/2015
2,41263,One_time_user,Build 232,Version 7.1,High,MS Win Server 2008, > 6 GB,Laptop,8 Cores,Germany,3/28/2015
3,42954,New_Client,Build 232,Version 7.1,High,MS Win Server 2003, > 6 GB,Desktop,1 Core,Germany,2/10/2015
4,41916,Former_Best,Build 410,Version 8.3,High,MS Win Server 2003, > 6 GB,Desktop,1 Core,United States,2/8/2015
5,42649,Best_Customer,Build 232,Version 7.1,High,MS Win 7,>2GB & <= 4 GB,Desktop,1 Core,Germany,3/26/2015
6,88776,New_Client,Build 232,Version 7.1,High,MS Win 7, > 6 GB,Desktop,2 Cores,Australia,1/13/2015
7,610,Best_Customer,Build 410,Version 7.1,Standard,MS Win Server 2003,>2GB & <= 4 GB,Desktop,1 Core,Germany,1/11/2015
8,8122,One_time_user,Build 232,Version 7.1,High,MS Win Server 2003,>512 MB  & <= 1 GB,Mobile,1 Core,Australia,3/29/2015
9,28864,Former_Best,Build 380,Version 7.1,High,MS Win Server 2008, > 6 GB,Desktop,2 Cores,Australia,2/20/2015
10,76528,Former_Best,Build 232,Version 10.2,High,MS Win Server 2003, > 6 GB,Laptop,4 Cores,United States,1/6/2015
11,44288,Best_Customer,Build 232,Version 7.1,High,MS Win Server 2003, > 6 GB,Desktop,1 Core,United States,1/25/2015
12,13835,Best_Customer,Build 232,Version 8.3,High,MS Win Server 2008,>4GB & <= 6 GB,Desktop,1 Core,United Kingdom,3/16/2015
13,86238,Best_Customer,Build 232,Version 8.3,Standard,MS Win Server 2008,>512 MB  & <= 1 GB,Desktop,1 Core,Germany,1/30/2015
14,43982,One_time_user,Build 232,Version 7.1,Standard,MS Win Server 2008, <= 512 MB,Laptop,1 Core,France,2/16/2015
15,26663,Best_Customer,Build 232,Version 7.1,Lite,MS Win XP, > 6 GB,Desktop,1 Core,United States,2/6/2015
16,88116,Best_Customer,Build 232,Version 7.1,High,MS Win Server 2008, > 6 GB,Laptop,8 Cores,Australia,2/10/2015
17,18206,One_time_user,Build 232,Version 7.1,High,MS Win XP,>4GB & <= 6 GB,Mobile,1 Core,Germany,3/22/2015
18,36271,Best_Customer,Build 232,Version 7.1,High,MS Win Server 2003, > 6 GB,Desktop,1 Core,Germany,3/4/2015
19,5550,Best_Customer,Build 410,Version 7.1,Standard,MS Win Server 2003, > 6 GB,Desktop,1 Core,United Kingdom,1/25/2015
20,77504,Best_Customer,Build 410,Version 7.1,High,MS Win Server 2008, > 6 GB,Laptop,1 Core,Germany,3/15/2015
21,61880,Former_Best,Build 232,Version 7.1,High,MS Win Server 2008, > 6 GB,Desktop,1 Core,Australia,2/6/2015
22,36824,Former_Best,Build 232,Version 7.1,Standard,MS Win Server 2003, > 6 GB,Desktop,1 Core,Japan,2/15/2015
23,94871,Best_Customer,Build 232,Version 7.1,High,MS Win Server 2003,>512 MB  & <= 1 GB,Desktop,1 Core,Germany,1/13/2015
24,72643,Best_Customer,Build 232,Version 7.1,High,MS Win Server 2008, > 6 GB,Mobile,4 Cores,Australia,3/13/2015
25,26696,Former_Best,Build 232,Version 7.1,High,MS Win Server 2003, > 6 GB,Desktop,2 Cores,Japan,2/14/2015
26,85526,Former_Best,Build 232,Version 7.1,High,MS Win 7, > 6 GB,Desktop,2 Cores,United States,2/27/2015
27,67964,Best_Customer,Build 232,Version 8.3,Standard,MS Win Server 2008, > 6 GB,Desktop,1 Core,Japan,1/4/2015
28,26045,New_Client,Build 232,Version 7.1,High,MS Win Server 2003, > 6 GB,Desktop,1 Core,Australia,1/4/2015
29,92184,One_time_user,Build 232,Version 7.1,High,MS Win Server 2003, > 6 GB,Mobile,1 Core,Germany,1/8/2015
30,28064,One_time_user,Build 380,Version 7.1,High,MS Win Server 2003,>4GB & <= 6 GB,Desktop,8 Cores,United Kingdom,1/3/2015
31,54374,Best_Customer,Build 232,Version 7.1,Standard,MS Win Server 2008, > 6 GB,Mobile,2 Cores,Germany,3/20/2015
32,96007,Best_Customer,Build 232,Version 8.3,High,MS Win XP, > 6 GB,Desktop,1 Core,United States,1/27/2015
33,96893,Former_Best,Build 232,Version 10.2,High,MS Win Server 2008, > 6 GB,Desktop,4 Cores,Germany,3/9/2015
34,39337,Best_Customer,Build 232,Version 7.1,High,MS Win XP, > 6 GB,Mobile,2 Cores,Australia,1/6/2015
35,15140,Former_Best,Build 999,Version 7.1,High,MS Win Server 2008,>1GB & <= 2 GB,Laptop,1 Core,Australia,3/22/2015
36,12385,Former_Best,Build 410,Version 7.1,High,MS Win XP,>512 MB  & <= 1 GB,Desktop,2 Cores,Australia,2/14/2015
37,8983,Former_Best,Build 232,Version 7.1,Lite,MS Win Server 2008, > 6 GB,Desktop,1 Core,France,1/11/2015
38,74497,Former_Best,Build 232,Version 7.1,High,MS Win 7,>4GB & <= 6 GB,Desktop,4 Cores,United States,3/23/2015
39,71008,Former_Best,Build 410,Version 7.1,High,MS Win Server 2003, > 6 GB,Desktop,1 Core,Australia,3/9/2015
40,8797,One_time_user,Build 410,Version 8.3,High,MS Win Server 2008, > 6 GB,Desktop,1 Core,United States,3/12/2015
41,47507,New_Client,Build 232,Version 7.1,Standard,MS Win Server 2008,>1GB & <= 2 GB,Desktop,1 Core,Australia,2/23/2015
42,16616,Best_Customer,Build 232,Version 7.1,Standard,MS Win Server 2003, > 6 GB,Laptop,8 Cores,Germany,3/15/2015
43,53826,New_Client,Build 410,Version 7.1,Lite,MS Win Server 2003, > 6 GB,Laptop,1 Core,Germany,2/18/2015
44,13669,Best_Customer,Build 410,Version 7.1,High,MS Win Server 2003,>4GB & <= 6 GB,Desktop,1 Core,Germany,2/23/2015
45,94056,New_Client,Build 232,Version 10.2,High,MS Win Server 2008, > 6 GB,Desktop,1 Core,France,2/25/2015
46,14332,One_time_user,Build 410,Version 7.1,High,MS Win 7, > 6 GB,Desktop,1 Core,Australia,3/6/2015
