CustomerID,Type_of_customer,Build_Distribution,Version_Distribution,Software_Edition,OS_Distribution,RAM_Distribution,PC_Type,CPU_Cores,Country,Date_of_Onboard
98569,Best Customer,Build 232,Version 7.1,High,MS Win Server 2008, > 6 GB,Mobile,1 Core,FR,1/12/2015
41263,One time user,Build 232,Version 7.1,High,MS Win Server 2008, > 6 GB,Laptop,8 Cores,DE,3/28/2015
42954,New Client,Build 232,Version 7.1,High,MS Win Server 2003, > 6 GB,Desktop,1 Core,DE,2/10/2015
41916,Former Best,Build 410,Version 8.3,High,MS Win Server 2003, > 6 GB,Desktop,1 Core,US,2/8/2015
42649,Best Customer,Build 232,Version 7.1,High,MS Win 7,>2GB & <= 4 GB,Desktop,1 Core,DE,3/26/2015
88776,New Client,Build 232,Version 7.1,High,MS Win 7, > 6 GB,Desktop,2 Cores,AU,1/13/2015
610,Best Customer,Build 410,Version 7.1,Standard,MS Win Server 2003,>2GB & <= 4 GB,Desktop,1 Core,DE,1/11/2015
8122,One time user,Build 232,Version 7.1,High,MS Win Server 2003,>512 MB  & <= 1 GB,Mobile,1 Core,AU,3/29/2015
28864,Former Best,Build 380,Version 7.1,High,MS Win Server 2008, > 6 GB,Desktop,2 Cores,AU,2/20/2015
76528,Former Best,Build 232,Version 10.2,High,MS Win Server 2003, > 6 GB,Laptop,4 Cores,US,1/6/2015
44288,Best Customer,Build 232,Version 7.1,High,MS Win Server 2003, > 6 GB,Desktop,1 Core,US,1/25/2015
13835,Best Customer,Build 232,Version 8.3,High,MS Win Server 2008,>4GB & <= 6 GB,Desktop,1 Core,GB,3/16/2015
86238,Best Customer,Build 232,Version 8.3,Standard,MS Win Server 2008,>512 MB  & <= 1 GB,Desktop,1 Core,DE,1/30/2015
43982,One time user,Build 232,Version 7.1,Standard,MS Win Server 2008, <= 512 MB,Laptop,1 Core,FR,2/16/2015
26663,Best Customer,Build 232,Version 7.1,Lite,MS Win XP, > 6 GB,Desktop,1 Core,US,2/6/2015
88116,Best Customer,Build 232,Version 7.1,High,MS Win Server 2008, > 6 GB,Laptop,8 Cores,AU,2/10/2015
18206,One time user,Build 232,Version 7.1,High,MS Win XP,>4GB & <= 6 GB,Mobile,1 Core,DE,3/22/2015
36271,Best Customer,Build 232,Version 7.1,High,MS Win Server 2003, > 6 GB,Desktop,1 Core,DE,3/4/2015
5550,Best Customer,Build 410,Version 7.1,Standard,MS Win Server 2003, > 6 GB,Desktop,1 Core,GB,1/25/2015
77504,Best Customer,Build 410,Version 7.1,High,MS Win Server 2008, > 6 GB,Laptop,1 Core,DE,3/15/2015
61880,Former Best,Build 232,Version 7.1,High,MS Win Server 2008, > 6 GB,Desktop,1 Core,AU,2/6/2015
36824,Former Best,Build 232,Version 7.1,Standard,MS Win Server 2003, > 6 GB,Desktop,1 Core,JP,2/15/2015
94871,Best Customer,Build 232,Version 7.1,High,MS Win Server 2003,>512 MB  & <= 1 GB,Desktop,1 Core,DE,1/13/2015
72643,Best Customer,Build 232,Version 7.1,High,MS Win Server 2008, > 6 GB,Mobile,4 Cores,AU,3/13/2015
26696,Former Best,Build 232,Version 7.1,High,MS Win Server 2003, > 6 GB,Desktop,2 Cores,JP,2/14/2015
85526,Former Best,Build 232,Version 7.1,High,MS Win 7, > 6 GB,Desktop,2 Cores,US,2/27/2015
67964,Best Customer,Build 232,Version 8.3,Standard,MS Win Server 2008, > 6 GB,Desktop,1 Core,JP,1/4/2015
26045,New Client,Build 232,Version 7.1,High,MS Win Server 2003, > 6 GB,Desktop,1 Core,AU,1/4/2015
92184,One time user,Build 232,Version 7.1,High,MS Win Server 2003, > 6 GB,Mobile,1 Core,DE,1/8/2015
28064,One time user,Build 380,Version 7.1,High,MS Win Server 2003,>4GB & <= 6 GB,Desktop,8 Cores,GB,1/3/2015
54374,Best Customer,Build 232,Version 7.1,Standard,MS Win Server 2008, > 6 GB,Mobile,2 Cores,DE,3/20/2015
96007,Best Customer,Build 232,Version 8.3,High,MS Win XP, > 6 GB,Desktop,1 Core,US,1/27/2015
96893,Former Best,Build 232,Version 10.2,High,MS Win Server 2008, > 6 GB,Desktop,4 Cores,DE,3/9/2015
39337,Best Customer,Build 232,Version 7.1,High,MS Win XP, > 6 GB,Mobile,2 Cores,AU,1/6/2015
15140,Former Best,Build 999,Version 7.1,High,MS Win Server 2008,>1GB & <= 2 GB,Laptop,1 Core,AU,3/22/2015
12385,Former Best,Build 410,Version 7.1,High,MS Win XP,>512 MB  & <= 1 GB,Desktop,2 Cores,AU,2/14/2015
8983,Former Best,Build 232,Version 7.1,Lite,MS Win Server 2008, > 6 GB,Desktop,1 Core,FR,1/11/2015
74497,Former Best,Build 232,Version 7.1,High,MS Win 7,>4GB & <= 6 GB,Desktop,4 Cores,US,3/23/2015
71008,Former Best,Build 410,Version 7.1,High,MS Win Server 2003, > 6 GB,Desktop,1 Core,AU,3/9/2015
8797,One time user,Build 410,Version 8.3,High,MS Win Server 2008, > 6 GB,Desktop,1 Core,US,3/12/2015
47507,New Client,Build 232,Version 7.1,Standard,MS Win Server 2008,>1GB & <= 2 GB,Desktop,1 Core,AU,2/23/2015
16616,Best Customer,Build 232,Version 7.1,Standard,MS Win Server 2003, > 6 GB,Laptop,8 Cores,DE,3/15/2015
53826,New Client,Build 410,Version 7.1,Lite,MS Win Server 2003, > 6 GB,Laptop,1 Core,DE,2/18/2015
13669,Best Customer,Build 410,Version 7.1,High,MS Win Server 2003,>4GB & <= 6 GB,Desktop,1 Core,DE,2/23/2015
94056,New Client,Build 232,Version 10.2,High,MS Win Server 2008, > 6 GB,Desktop,1 Core,FR,2/25/2015
14332,One time user,Build 410,Version 7.1,High,MS Win 7, > 6 GB,Desktop,1 Core,AU,3/6/2015
79587,Best Customer,Build 410,Version 7.1,Standard,MS Win Server 2008, > 6 GB,Desktop,8 Cores,GB,1/21/2015
176,One time user,Build 232,Version 7.1,High,MS Win Server 2008, > 6 GB,Desktop,2 Cores,DE,1/2/2015
70509,Best Customer,Build 232,Version 7.1,Standard,MS Win Server 2008, > 6 GB,Desktop,8 Cores,GB,1/23/2015
72896,Former Best,Build 232,Version 7.1,High,MS Win Server 2003, > 6 GB,Desktop,4 Cores,US,3/6/2015
27581,Best Customer,Build 232,Version 7.1,High,MS Win Server 2008,>2GB & <= 4 GB,Desktop,4 Cores,FR,3/13/2015
40148,Best Customer,Build 410,Version 7.1,High,MS Win Server 2008,>512 MB  & <= 1 GB,Desktop,1 Core,US,1/9/2015
